_id,base_clock,boost_clock,brand,core,cpu,iGPU,keyword,socket,tdp,thread
,3.7,5.0,intel,16,i7-13700HX,Intel® UHD Graphics for 13th Gen Intel® Processors,13700HX,FCBGA1964,157,24
,3.9,5.2,intel,14,i7-1370P,Intel® Iris® Xe Graphics eligible,1370P,FCBGA1744,64,20
,3.6,4.9,intel,16,i7-13700T,Intel® UHD Graphics 770,13700T,FCLGA1700,106,24
,3.7,4.8,intel,14,i7-1375PRE,Intel® Iris® Xe Graphics eligible,1375PRE,FCBGA1744,64,20
,3.7,5.0,intel,14,i7-13705H,Intel® Iris® Xe Graphics eligible,13705H,FCBGA1792,115,20
,3.7,5.0,intel,14,i7-13700H,Intel® Iris® Xe Graphics eligible,13700H,FCBGA1744,115,20
,3.9,5.1,intel,16,i7-13700E,Intel® UHD Graphics 770,13700E,FCLGA1700,65,24
,4.1,5.2,intel,16,i7-13700,Intel® UHD Graphics 770,13700,FCLGA1700,219,24
,3.6,4.9,intel,14,i7-13650HX,Intel® UHD Graphics for 13th Gen Intel® Processors,13650HX,FCBGA1964,157,20
,4.1,5.2,intel,16,i7-13700F,None,13700F,FCLGA1700,219,24
,3.7,5.0,intel,10,i7-1355U,Intel® Iris® Xe Graphics eligible,1355U,FCBGA1744,55,12
,3.6,4.9,intel,10,i7-13620H,Intel® UHD Graphics for 13th Gen Intel® Processors,13620H,FCBGA1744,115,16
,3.9,5.2,intel,10,i7-1365U,Intel® Iris® Xe Graphics eligible,1365U,FCBGA1744,55,12
,3.7,5.0,intel,12,i7-1360P,Intel® Iris® Xe Graphics eligible,1360P,FCBGA1744,64,16
,3.4,4.8,intel,14,i5-13600T,Intel® UHD Graphics 770,13600T,FCLGA1700,92,20
,3.7,4.9,intel,10,i7-1365UE,Intel® Iris® Xe Graphics eligible,1365UE,FCBGA1744,55,12
,3.6,4.8,intel,12,i5-13600HE,Intel® Iris® Xe Graphics eligible,13600HE,FCBGA1744,115,16
,3.6,4.8,intel,12,i5-13600H,Intel® Iris® Xe Graphics eligible,13600H,FCBGA1744,95,16
